district,id,description,Longitude,Latitude
San Blas,654,HERMANOS GARCIA NOBLEJAS - EMILIO MUÑOZ,-3.63232625171218,40.43012930725801
San Blas,657,HERMANOS GARCIA NOBLEJAS - LUIS DEL CAMPO,-3.63167522945915,40.42918043769415
San Blas,660,HERMANOS GARCIA NOBLEJAS - CASTILLO AREVALO,-3.63072970474015,40.42785606714796
San Blas,658,HERMANOS GARCIA NOBLEJAS - CASTILLO UCLES - GANDHI,-3.62945487346225,40.42615154253959
San Blas,663,HERMANOS GARCIA NOBLEJAS - AV. ARCENTALES,-3.62832588967741,40.42447763538319
San Blas,569,HERMANOS GARCIA NOBLEJAS - POBLADURA VALLE,-3.62657420781729,40.4221592428707
San Blas,681,HERMANOS GARCIA NOBLEJAS - VILLAESCUSA,-3.62535048160912,40.42048581637803
San Blas,1156,PLAZA ALSACIA  - FUENTE CARRANTONA - GUADALAJARA,-3.62358774360523,40.41773556412715
San Blas,1157,PLAZA ALSACIA - AQUITANIA,-3.62250316771357,40.4172140252833
San Blas,2180,POBLADURA VALLE - ARCOS DE JALON,-3.62568565608036,40.42248895906282
San Blas,1063,ALBARRACIN - JULIAN CAMARILLO,-3.63221628706688,40.43392750636163
San Blas,1075,EMILIO MUÑOZ - ALBARRACIN,-3.62973763667779,40.4311877676035
San Blas,1470,EMILIO MUÑOZ - SANTA LEONOR - ZALDIVAR,-3.62767762838627,40.43206609017596
San Blas,1469,EMILIO MUÑOZ - ALFONSO GOMEZ,-3.62569578018975,40.43300966948583
San Blas,1555,HERMANOS GARCIA NOBLEJAS 196 - P.P.,-3.62447618768533,40.4193132963721
San Blas,1624,EMILIO MUÑOZ 21 - P.P.,-3.6286760068525,40.4316086730351
San Blas,1625,EMILIO MUÑOZ 51 - P.P.,-3.62399160244679,40.43381708018739
San Blas,1656,JULIAN CAMARILLO - SANTA LEONOR,-3.62933858038901,40.43438071170588
San Blas,1655,JULIAN CAMARILLO - ALFONSO GOMEZ,-3.62672383541738,40.43522160432503
Ciudad Lineal,1773,NICOLAS SALMERON 10 - P.P.,-3.62677547087538,40.41784816865203
Ciudad Lineal,1772,NICOLAS SALMERON - MATAMOROSA,-3.63035295087224,40.41964311201556
Ciudad Lineal,1838,JOSE ARCONES GIL - GANDHI,-3.63187043785948,40.42520644676098
Ciudad Lineal,1877,NICOLAS SALMERON - RODRIGO DE TRIANA - P.P.,-3.63196799400877,40.42048851298724
Ciudad Lineal,1902,NICOLAS SALMERON - VILLAESCUSA,-3.63380125796342,40.42146767269917
Ciudad Lineal,1428,BRAULIO GUTIERREZ - JOSE ARCONES GIL,-3.63470134441184,40.42913792314796
Ciudad Lineal,1230,ARTURO SORIA - EMETERIO CASTAÑOS,-3.66379708231339,40.46187650875231
Ciudad Lineal,1283,ARTURO SORIA - EMILIO RUBIN,-3.66231042741226,40.46080471812337
Ciudad Lineal,584,ARTURO SORIA - NAVARRO AMANDI,-3.66102514324616,40.45995430950463
Ciudad Lineal,596,ARTURO SORIA - LOPEZ DE HOYOS,-3.66004629724804,40.45927571486975
Ciudad Lineal,1113,ARTURO SORIA - BELISANA,-3.65776194789545,40.45727184276788
Ciudad Lineal,579,ARTURO SORIA - JOSE SILVA - ULISES,-3.65643742830294,40.45583698087312
Ciudad Lineal,386,ARTURO SORIA - BUESO PINEDA,-3.65506154964243,40.45420311973263
Ciudad Lineal,1709,ARTURO SORIA - MANUEL DEL VALLE,-3.65370303175605,40.45269900573325
Ciudad Lineal,580,ARTURO SORIA - MANUEL MARIA IGLESIAS,-3.65300781080981,40.45178654256561
Ciudad Lineal,1112,ARTURO SORIA - DIEGO AYLLON,-3.65246163133161,40.45102759985733
Ciudad Lineal,1175,ARTURO SORIA - RAMIREZ DE ARELLANO,-3.65174359247795,40.45007360340386
Ciudad Lineal,278,ARTURO SORIA - EMILIO VARGAS,-3.65110894564641,40.44931122856803
Ciudad Lineal,600,ARTURO SORIA - HERNANDEZ DE TEJADA,-3.64981736460816,40.44761030728035
Ciudad Lineal,1238,ARTURO SORIA - AMARA,-3.64834130176086,40.44630427984988
Ciudad Lineal,322,ARTURO SORIA - MARQUES DE PORTUGALETE,-3.64635621958819,40.44518880091356
Ciudad Lineal,589,ARTURO SORIA - FERNANDEZ CARO,-3.64534105702046,40.44472139877825
Ciudad Lineal,577,ARTURO SORIA - MARQUES DE PICO VELASCO,-3.6441394216627,40.44419865346622
Ciudad Lineal,963,GREGORIO BENITEZ - ASURA,-3.64884514528074,40.45034465384965
Ciudad Lineal,532,JOSE DEL HIERRO - MISTERIOS,-3.6422260174932,40.44098326573715
Ciudad Lineal,750,JOSE DEL HIERRO 39 - P.P.,-3.64386294803687,40.44027242060604
Ciudad Lineal,1503,MESENA - EMETERIO CASTAÑOS,-3.66207171385332,40.46337980028351
Ciudad Lineal,592,LOPEZ DE HOYOS - PEDRO SALINAS,-3.66079980007287,40.45712593579052
Ciudad Lineal,1004,TORRELAGUNA - ARTURO BALDASANO - P.P.,-3.66085511353456,40.45565020008615
Ciudad Lineal,724,ACCESO M-30 - TORRELAGUNA,-3.66052886019229,40.45194328189251
Ciudad Lineal,1474,TORRELAGUNA - SORZANO,-3.65924197215847,40.45088143084424
Ciudad Lineal,1452,JOSE SILVA - AGASTIA,-3.6586651793598,40.45471237629454
Ciudad Lineal,1719,GENERAL  ARANAZ - JOSEFA VALCARCEL,-3.6475171821683,40.44858278853443
Hortaleza,1776,ASURA - BUESO PINEDA,-3.65280989523203,40.45540887102303
Hortaleza,1775,MESENA - EMILIO RUBIN,-3.66031579268742,40.46220621308836
Hortaleza,1876,CTRA.  CANILLAS - SANTO ANGEL,-3.65570520724804,40.46329832215982
Ciudad Lineal,1897,AGASTIA - FERNANDEZ CARO,-3.64676118074643,40.44296882680754
Ciudad Lineal,1915,EMILIO VARGAS - AGASTIA,-3.65345299716676,40.44831626514913
Ciudad Lineal,1911,EMILIO VARGAS - TORRELAGUNA,-3.65636623439697,40.44712391542649
Ciudad Lineal,1505,TORRELAGUNA - RAMIREZ DE ARELLANO,-3.65715214954698,40.44829980605348
Ciudad Lineal,1958,ARTURO SORIA - SANTO ANGEL - P.P.,-3.65859774962354,40.45815802088734
Ciudad Lineal,1665,GRAL. ARANAZ 66 - P.P.,-3.64301603841436,40.44598803195865
Ciudad Lineal,1606,GRAL. ARANAZ - LOPEZ ARANDA,-3.63840028565287,40.44257964219961
Ciudad Lineal,2200,TORRELAGUNA 108-127 - P.P.,-3.66066305967515,40.45506582713348
Ciudad Lineal,2179,ASURA - JULIAN HERNANDEZ,-3.65221082095788,40.45466587473287
Ciudad Lineal,2244,TORRELAGUNA 83-85 - P.P.,-3.65780560942312,40.44946636697752
Ciudad Lineal,1347,INGENIERO EMILIO HERRERA - M-11,-3.66314308894689,40.48400218328604
Ciudad Lineal,1348,ARTURO SORIA - M-11,-3.66406001498627,40.48327087106158
Ciudad Lineal,1342,ARTURO SORIA - LAUD,-3.66451255603603,40.48263729037307
Ciudad Lineal,1134,ARTURO SORIA - DALIA,-3.66735847878476,40.48005055703275
Ciudad Lineal,1288,ARTURO SORIA 318 - P.P.,-3.66847932232441,40.4788621894573
Ciudad Lineal,697,ARTURO SORIA - AV. SAN LUIS,-3.66854769052248,40.47601448987888
Ciudad Lineal,1233,ARTURO SORIA - ELADIO LOPEZ VILCHES,-3.66788384053092,40.47344365678691
Ciudad Lineal,595,ARTURO SORIA - SERRANO GALVACHE,-3.66726370967061,40.47153903005029
Ciudad Lineal,581,ARTURO SORIA - SAN JUAN DE AVILA - ALONSO SAAVEDRA,-3.66693143961694,40.4697608986481
Hortaleza,1673,CUEVAS ALMANZORA - BACARES,-3.66106817585163,40.47534924821674
Ciudad Lineal,582,ARTURO SORIA - RAMONET,-3.66668029687024,40.46894963781946
Ciudad Lineal,583,ARTURO SORIA - AÑASTRO,-3.66614460742129,40.46706970320987
Ciudad Lineal,1730,ARTURO SORIA - BRIVIESCA,-3.66596204824516,40.4813691037406
Ciudad Lineal,594,ARTURO SORIA - MANUEL URIBE,-3.66537412055634,40.46424024654797
Ciudad Lineal,1152,AV. SAN LUIS - MESENA - BOMBEROS,-3.66545136040715,40.47472931784947
Hortaleza,958,AV. SAN LUIS - ELADIO LOPEZ VILCHES,-3.66399835756253,40.47418992776569
Hortaleza,762,AV. SAN LUIS - CUEVAS DE ALMANZORA,-3.66345416560892,40.47372651247116
Ciudad Lineal,1337,MESENA - ELADIO LOPEZ VILCHES - BOMBEROS,-3.66519973609569,40.47388184479961
Hortaleza,1130,JULIO DANVILA - MESENA,-3.66461584182684,40.47195226366249
Ciudad Lineal,1103,AÑASTRO - MESENA,-3.66347086155806,40.46749628504023
