"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;6210;542;"2017-05-03 00:00:00";440822.153670992;4475296.831538203;-3.69763004136387;40.42620183460129
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;6211;542;"2017-05-03 00:00:00";440825.679668902;4475311.274547525;-3.69758982159927;40.42633219479395
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4318;427;"2018-09-01 00:00:00";440261.067890241;4473781.539594239;-3.70410171422019;40.41251127798903
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4317;427;"2018-09-01 00:00:00";440271.657107776;4473787.410303281;-3.7039774664704;40.41256492407645
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;24;41;"2018-08-31 00:00:00";439990.226252213;4475216.115553232;-3.7074290639187;40.42541511634393
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;23;41;"2018-08-31 00:00:00";439997.383912976;4475210.583727727;-3.70734416942824;40.42536579941591
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4441;42;"2020-05-26 00:00:00";441373.833936421;4475138.208388791;-3.69111227134287;40.42481193999122
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4430;42;"2020-05-26 00:00:00";441490.573223578;4475235.281789665;-3.68974512243556;40.42569464211508
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4447;42;"2020-05-26 00:00:00";441422.799576652;4475084.460231516;-3.69053012997712;40.42433119949749
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4436;42;"2020-05-26 00:00:00";441401.124912565;4475235.265375426;-3.69079952000903;40.42568819879651
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4435;42;"2020-05-26 00:00:00";441410.846388983;4475232.955313955;-3.69068471230254;40.42566807332054
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4427;42;"2020-05-26 00:00:00";441456.857651019;4475259.363620285;-3.69014477241929;40.42590921107647
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4426;42;"2020-05-26 00:00:00";441434.241279104;4475263.959797573;-3.69041179399028;40.42594902387812
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4429;42;"2020-05-26 00:00:00";441484.643844863;4475256.189141002;-3.68981694099089;40.42588256863228
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4428;42;"2020-05-26 00:00:00";441470.960582085;4475259.026437044;-3.6899784982589;40.42590716584513
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4438;42;"2020-05-26 00:00:00";441361.040972716;4475208.315153958;-3.69126953593552;40.42544259396674
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4443;42;"2020-05-26 00:00:00";441457.970274817;4475108.953603663;-3.69011780816604;40.42455432313733
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4432;42;"2020-05-26 00:00:00";441486.987189199;4475201.141466371;-3.6897842519899;40.4253868373494
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;9831;42;"2022-02-26 00:00:00";441488.135174479;4475211.530760177;-3.68977167592344;40.42548050987816
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;9830;42;"2022-02-26 00:00:00";441483.317980803;4475213.54953488;-3.68982864568068;40.42549835717319
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4448;42;"2020-05-26 00:00:00";441400.807102849;4475086.809759391;-3.69078958421502;40.4243508165065
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4445;42;"2020-05-26 00:00:00";441435.711003937;4475081.951089856;-3.69037770458063;40.42430950486433
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4446;42;"2020-05-26 00:00:00";441427.991770327;4475084.74185207;-3.69046895259762;40.42433410201333
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4434;42;"2020-05-26 00:00:00";441412.948304087;4475232.47652109;-3.69065989123248;40.42566390814377
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4444;42;"2020-05-26 00:00:00";441456.088893535;4475094.455107106;-3.69013865022077;40.42442358126359
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4437;42;"2020-05-26 00:00:00";441365.40846044;4475220.814919877;-3.69121920578585;40.4255555056958
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4433;42;"2020-05-26 00:00:00";441418.086146994;4475229.449321768;-3.69059904845914;40.42563699946464
